user,group,device,ip,Login Time,timedelta to previous same user,timedelta to previous same group,timedelta to previous same device,timedelta to previous same ip,timedelta to previous same user-group,timedelta to previous same user-device,timedelta to previous same user-ip,timedelta to previous same group-device,timedelta to previous same group-ip,timedelta to previous same device-ip,timedelta to previous same user-group-device,timedelta to previous same user-group-ip,timedelta to previous same user-device-ip,timedelta to previous same group-device-ip
97,2,72,120,2023-01-01 08:11:02.766640788,,551.9812,,,,,,,,,,,,
24,3,137,159,2023-01-01 08:11:20.255015352,,26.966898,,,,,,,,,,,,
2,4,30,128,2023-01-01 08:12:32.528263356,,,,,,,,,,,,,,
108,10,108,118,2023-01-01 08:15:49.310520024,,430.89392,5255.134,,,,,5255.134,,,,,,
116,3,119,20,2023-01-01 08:16:06.688927500,,286.4339,,,,,,,,,,,,
136,10,135,151,2023-01-01 08:17:53.862110022,,124.55159,,,,,,,,,,,,
124,3,70,41,2023-01-01 08:18:14.279811954,,127.59088,,,,,,,,,,,,
84,10,109,97,2023-01-01 08:18:48.438983310,,54.576874,,,,,,,,,,,,
25,1,58,119,2023-01-01 08:19:09.488772150,,1705.6294,,,,,,,,,,,,
133,3,95,36,2023-01-01 08:19:09.994032318,,55.714222,,,,,,,,,,,,
74,3,43,80,2023-01-01 08:19:30.932931270,,20.938898,,,,,,,,,,,,
94,1,116,45,2023-01-01 08:19:42.133953174,,32.64518,,,,,,,,,,,,
114,10,5,150,2023-01-01 08:19:48.772642722,5494.596,60.33366,,5494.596,5494.596,,5494.596,,5494.596,,,5494.596,,
93,2,91,72,2023-01-01 08:20:45.603786870,,582.83716,,,,,,,,,,,,
47,10,111,70,2023-01-01 08:20:56.902810620,,68.130165,,,,,,,,,,,,
76,8,128,43,2023-01-01 08:21:39.547484976,,695.6916,,,,,,,,,,,,
106,3,141,125,2023-01-01 08:21:57.548919744,,146.61598,,,,,,,,,,,,
34,3,68,145,2023-01-01 08:22:14.507748636,,16.958828,,,,,,,,,,,,
78,10,143,55,2023-01-01 08:22:37.450887360,,100.54808,,,,,,,,,,,,
48,3,25,146,2023-01-01 08:23:19.712906483,,65.205154,,,,,,,,,,,,
81,10,57,152,2023-01-01 08:26:10.980847512,,213.52995,,,,,,,,,,,,
97,2,64,120,2023-01-01 08:26:26.430666835,923.664,340.82687,10709.624,923.664,923.664,,923.664,,923.664,,,923.664,,
59,10,34,62,2023-01-01 08:26:44.384883330,,33.404037,,,,,,,,,,,,
105,3,138,42,2023-01-01 08:28:38.556610014,,318.8437,,,,,,,,,,,,
92,10,49,1,2023-01-01 08:29:09.178412778,,144.79353,,,,,,,,,,,,
67,3,9,76,2023-01-01 08:29:21.541651470,13533.71,42.985043,,13533.71,13533.71,,13533.71,,13533.71,,,13533.71,,
3,10,1,52,2023-01-01 08:30:03.322620726,,54.144207,,,,,,,,,,,,
144,10,56,149,2023-01-01 08:30:24.671426418,,21.348806,,,,,,,,,,,,
73,10,164,101,2023-01-01 08:30:47.687686470,,23.01626,,,,,,,,,,,,
62,3,52,144,2023-01-01 08:31:16.185510996,,114.64386,,,,,,,,,,,,
41,3,76,132,2023-01-01 08:31:45.180114162,,28.994604,,,,,,,,,,,,
8,10,3,32,2023-01-01 08:32:10.012212006,1796.9752,82.324524,,1796.9752,1796.9752,,1796.9752,,1796.9752,,,1796.9752,,
126,8,46,111,2023-01-01 08:32:39.531995880,,659.9845,,,,,,,,,,,,
132,10,126,39,2023-01-01 08:33:08.009566026,,57.997353,,,,,,,,,,,,
90,10,139,87,2023-01-01 08:33:25.246879296,,17.237312,,,,,,,,,,,,
18,10,74,81,2023-01-01 08:34:00.419064372,2029.2534,35.172184,,2029.2534,2029.2534,,2029.2534,,2029.2534,,,2029.2534,,
51,10,47,59,2023-01-01 08:35:56.546139582,,116.127075,,,,,,,,,,,,
114,10,120,150,2023-01-01 08:36:48.909052801,1020.1364,52.362915,24426.254,1020.1364,1020.1364,,1020.1364,,1020.1364,,,1020.1364,,
48,3,25,146,2023-01-01 08:36:57.991034724,818.27814,312.8109,818.27814,818.27814,818.27814,818.27814,818.27814,818.27814,818.27814,818.27814,818.27814,818.27814,818.27814,818.27814
14,10,77,123,2023-01-01 08:37:36.557818878,,47.648766,,,,,,,,,,,,
109,3,117,7,2023-01-01 08:38:23.889822654,,85.89879,,,,,,,,,,,,
21,10,149,148,2023-01-01 08:38:49.415958486,,72.85814,,,,,,,,,,,,
95,3,130,86,2023-01-01 08:39:38.889335784,,74.99951,,,,,,,,,,,,
28,3,10,9,2023-01-01 08:40:23.868814070,2200.0693,44.979477,16506.904,2200.0693,2200.0693,,2200.0693,,2200.0693,,,2200.0693,,
102,3,39,67,2023-01-01 08:42:32.817105473,,128.94829,,,,,,,,,,,,
121,10,12,141,2023-01-01 08:43:14.231864112,,264.81592,,,,,,,,,,,,
63,3,88,11,2023-01-01 08:43:22.177327272,,49.36022,,,,,,,,,,,,
68,8,145,93,2023-01-01 08:44:35.219414982,,715.68744,,,,,,,,,,,,
113,3,118,73,2023-01-01 08:46:22.323272946,,180.14595,,,,,,,,,,,,
45,3,163,57,2023-01-01 08:49:14.953953762,,172.63068,5055.858,,,,,5055.858,,,,,,
5,3,140,5,2023-01-01 08:49:22.753986192,,7.8000326,,,,,,,,,,,,
137,8,48,117,2023-01-01 08:49:43.518404640,,308.29898,,,,,,,,,,,,
131,4,171,84,2023-01-01 08:52:26.244304710,,2393.716,,,,,,,,,,,,
58,10,150,116,2023-01-01 08:52:29.722376838,,555.49054,,,,,,,,,,,,
109,3,117,7,2023-01-01 08:52:44.774597832,860.88477,202.02061,860.88477,860.88477,860.88477,860.88477,860.88477,860.88477,860.88477,860.88477,860.88477,860.88477,860.88477,860.88477
11,3,54,94,2023-01-01 08:53:56.722687332,,71.94809,,,,,,,,,,,,
139,10,94,136,2023-01-01 08:58:44.249070012,,374.5267,,,,,,,,,,,,
57,1,148,102,2023-01-01 08:59:18.463373778,,2376.3293,,,,,,,,,,,,
49,10,42,137,2023-01-01 08:59:20.080375248,,35.831306,,,,,,,,,,,,
133,3,10,36,2023-01-01 09:00:45.027329249,2495.0332,408.30466,1221.1586,2495.0332,2495.0332,,2495.0332,1221.1586,2495.0332,,,2495.0332,,
9,10,89,54,2023-01-01 09:00:47.710626090,,87.63025,,,,,,,,,,,,
83,3,15,95,2023-01-01 09:00:48.229650246,,3.202321,,,,,,,,,,,,
145,3,105,40,2023-01-01 09:04:45.777843066,,237.54819,,,,,,,,,,,,
46,9,106,154,2023-01-01 09:04:52.574540466,,,,,,,,,,,,,,
7,10,87,130,2023-01-01 09:05:45.436245270,,297.72562,,,,,,,,,,,,
98,3,154,156,2023-01-01 09:06:17.930629866,,92.15279,,,,,,,,,,,,
42,3,153,37,2023-01-01 09:06:28.679186832,,10.748557,,,,,,,,,,,,
6,3,65,69,2023-01-01 09:07:12.537105906,,43.857918,,,,,,,,,,,,
140,8,115,74,2023-01-01 09:09:13.657601646,,1170.1392,27428.828,,,,,27428.828,,,,,,
103,3,110,48,2023-01-01 09:09:28.389687966,,135.85258,,,,,,,,,,,,
24,3,44,159,2023-01-01 09:10:54.152183068,3573.8972,85.7625,4242.9863,3573.8972,3573.8972,,3573.8972,,3573.8972,,,3573.8972,,
81,10,57,152,2023-01-01 09:11:49.024644984,2738.0437,363.5884,2738.0437,2738.0437,2738.0437,2738.0437,2738.0437,2738.0437,2738.0437,2738.0437,2738.0437,2738.0437,2738.0437,2738.0437
89,10,142,103,2023-01-01 09:12:17.624917842,,28.600273,,,,,,,,,,,,
64,10,60,113,2023-01-01 09:12:41.277835614,,23.652918,,,,,,,,,,,,
112,3,40,71,2023-01-01 09:13:59.915205672,6540.8193,185.76302,20671.86,6540.8193,6540.8193,,6540.8193,,6540.8193,,,6540.8193,,
69,3,51,83,2023-01-01 09:17:59.602224756,,239.68701,4546.5654,,,,,,,,,,,
111,3,69,24,2023-01-01 09:20:15.770799497,7110.3423,136.16858,7110.3423,7110.3423,7110.3423,7110.3423,7110.3423,7110.3423,7110.3423,7110.3423,7110.3423,7110.3423,7110.3423,7110.3423
30,2,159,10,2023-01-01 09:20:46.181780388,,3259.7512,,,,,,,,,,,,
65,3,158,50,2023-01-01 09:21:54.639277950,,98.86848,,,,,,,,,,,,
134,8,63,82,2023-01-01 09:22:49.848689730,,816.1911,,,,,,,,,,,,
72,3,41,114,2023-01-01 09:25:45.444871944,,230.80559,,,,,,,,,,,,
50,3,31,17,2023-01-01 09:32:26.657300670,,401.21243,,,,,,,,,,,,
120,3,129,16,2023-01-01 09:32:29.484267234,,2.8269665,,,,,,,,,,,,
18,10,64,81,2023-01-01 09:34:45.635014817,3645.216,1324.3572,4099.2046,3645.216,3645.216,,3645.216,,3645.216,,,3645.216,,
48,3,49,146,2023-01-01 09:34:52.586532753,3474.5955,143.10226,3943.4082,3474.5955,3474.5955,,3474.5955,,3474.5955,,,3474.5955,,
119,3,152,38,2023-01-01 09:38:01.299566346,,188.71303,,,,,,,,,,,,
36,3,169,127,2023-01-01 09:38:57.283993418,6233.1743,55.98443,14901.414,6233.1743,6233.1743,,6233.1743,,6233.1743,,,6233.1743,,
149,4,82,92,2023-01-01 09:39:11.360295120,,2805.116,,,,,,,,,,,,
102,3,39,67,2023-01-01 09:40:25.142276490,3472.3252,87.858284,3472.3252,3472.3252,3472.3252,3472.3252,3472.3252,3472.3252,3472.3252,3472.3252,3472.3252,3472.3252,3472.3252,3472.3252
129,9,144,15,2023-01-01 09:41:03.060907002,,2170.4863,,,,,,,,,,,,
81,10,64,152,2023-01-01 09:41:36.359921211,1787.3353,410.7249,410.7249,1787.3353,1787.3353,,1787.3353,410.7249,1787.3353,,,1787.3353,,
71,10,160,53,2023-01-01 09:42:11.892218850,,35.5323,,,,,,,,,,,,
87,3,26,105,2023-01-01 09:43:59.269957284,,214.12769,,,,,,,,,,,,
1,3,113,31,2023-01-01 09:45:04.460981351,6090.67,65.191025,18076.629,6090.67,6090.67,,6090.67,18076.629,6090.67,,,6090.67,,
55,10,64,96,2023-01-01 09:49:53.868154338,6075.4517,461.97592,497.50824,6075.4517,6075.4517,,6075.4517,497.50824,6075.4517,,,6075.4517,,
1,3,169,31,2023-01-01 09:56:52.553104436,708.0921,708.0921,1075.2692,708.0921,708.0921,,708.0921,1075.2692,708.0921,,,708.0921,,
30,2,33,10,2023-01-01 10:00:44.923522371,2398.7417,2398.7417,,2398.7417,2398.7417,,2398.7417,,2398.7417,,,2398.7417,,
84,10,44,97,2023-01-01 10:01:52.089265988,6183.6504,718.2211,3057.937,6183.6504,6183.6504,,6183.6504,7300.924,6183.6504,,,6183.6504,,
18,10,74,81,2023-01-01 10:06:32.127768224,1906.4928,280.0385,5551.7085,1906.4928,1906.4928,5551.7085,1906.4928,5551.7085,1906.4928,5551.7085,5551.7085,1906.4928,5551.7085,5551.7085
94,1,116,45,2023-01-01 10:13:52.462449392,6850.3286,4473.999,6850.3286,6850.3286,6850.3286,6850.3286,6850.3286,6850.3286,6850.3286,6850.3286,6850.3286,6850.3286,6850.3286,6850.3286
45,3,163,57,2023-01-01 10:18:01.060619046,5326.1064,1268.5076,5326.1064,5326.1064,5326.1064,5326.1064,5326.1064,5326.1064,5326.1064,5326.1064,5326.1064,5326.1064,5326.1064,5326.1064
97,2,169,120,2023-01-01 10:27:34.367907701,7267.937,1609.4443,1841.8148,7267.937,7267.937,,7267.937,,7267.937,,,7267.937,,
30,2,167,10,2023-01-01 10:36:15.447327525,2130.524,521.0794,,2130.524,2130.524,,2130.524,,2130.524,,,2130.524,,
97,2,115,120,2023-01-01 10:46:08.577662063,1114.2097,593.1303,5814.92,1114.2097,1114.2097,,1114.2097,,1114.2097,,,1114.2097,,
8,10,103,32,2023-01-01 10:46:18.630120739,8048.6177,2386.5024,,8048.6177,8048.6177,,8048.6177,,8048.6177,,,8048.6177,,
81,10,87,152,2023-01-01 10:47:18.055841106,3941.6958,59.42572,6092.6196,3941.6958,3941.6958,,3941.6958,6092.6196,3941.6958,,,3941.6958,,
105,3,138,42,2023-01-01 10:50:52.007981262,8533.451,1970.9474,8533.451,8533.451,8533.451,8533.451,8533.451,8533.451,8533.451,8533.451,8533.451,8533.451,8533.451,8533.451
114,10,5,150,2023-01-01 10:51:43.606073458,8094.697,265.55023,9114.833,8094.697,8094.697,9114.833,8094.697,9114.833,8094.697,9114.833,9114.833,8094.697,9114.833,9114.833
59,10,113,62,2023-01-01 10:52:11.640222796,8727.255,28.03415,4027.1792,8727.255,8727.255,,8727.255,,8727.255,,,8727.255,,
114,10,5,150,2023-01-01 11:06:08.808129750,865.202,837.1679,865.202,865.202,865.202,865.202,865.202,865.202,865.202,865.202,865.202,865.202,865.202,865.202
21,10,44,148,2023-01-01 11:07:05.917047508,8896.501,57.108917,3913.828,8896.501,8896.501,,8896.501,3913.828,8896.501,,,8896.501,,
30,2,90,10,2023-01-01 11:08:20.904924510,1925.4576,1332.3273,37855.176,1925.4576,1925.4576,,1925.4576,,1925.4576,,,1925.4576,,
97,2,72,120,2023-01-01 11:11:40.673850791,1532.0962,199.76892,10837.907,1532.0962,1532.0962,10837.907,1532.0962,10837.907,1532.0962,10837.907,10837.907,1532.0962,10837.907,10837.907
25,1,10,119,2023-01-01 11:16:36.498851929,10647.01,3764.0364,8151.4717,10647.01,10647.01,,10647.01,,10647.01,,,10647.01,,
137,8,115,117,2023-01-01 11:18:57.404158214,8953.886,6967.5557,1968.8265,8953.886,8953.886,,8953.886,7783.7466,8953.886,,,8953.886,,
2,4,75,128,2023-01-01 11:21:20.050267907,11327.522,6128.69,,11327.522,11327.522,,11327.522,,11327.522,,,11327.522,,
68,8,145,93,2023-01-01 11:21:39.510360583,9424.291,162.1062,9424.291,9424.291,9424.291,9424.291,9424.291,9424.291,9424.291,9424.291,9424.291,9424.291,9424.291,9424.291
11,3,54,94,2023-01-01 11:23:25.894366092,8969.172,1953.8864,8969.172,8969.172,8969.172,8969.172,8969.172,8969.172,8969.172,8969.172,8969.172,8969.172,8969.172,8969.172
126,8,11,111,2023-01-01 11:35:43.834244277,10984.303,844.3239,33543.812,10984.303,10984.303,,10984.303,36625.68,10984.303,,,10984.303,,
2,4,33,128,2023-01-01 11:36:51.369605474,931.31934,931.31934,5766.4463,931.31934,931.31934,,931.31934,,931.31934,,,931.31934,,
95,3,130,86,2023-01-01 11:37:31.163121261,10672.273,845.26874,10672.273,10672.273,10672.273,10672.273,10672.273,10672.273,10672.273,10672.273,10672.273,10672.273,10672.273,10672.273
114,10,11,150,2023-01-01 11:43:59.614962747,2270.807,2213.698,495.78073,2270.807,2270.807,,2270.807,,2270.807,,,2270.807,,
9,10,89,54,2023-01-01 11:44:11.379660230,9803.669,11.764697,9803.669,9803.669,9803.669,9803.669,9803.669,9803.669,9803.669,9803.669,9803.669,9803.669,9803.669,9803.669
92,10,120,1,2023-01-01 11:48:32.145675173,11962.967,260.76602,11503.236,11962.967,11962.967,,11962.967,11503.236,11962.967,,,11962.967,,
78,10,143,55,2023-01-01 11:52:43.330099503,12605.879,251.18442,12605.879,12605.879,12605.879,12605.879,12605.879,12605.879,12605.879,12605.879,12605.879,12605.879,12605.879,12605.879
62,3,113,144,2023-01-01 11:52:44.823445288,12088.638,913.66034,3633.183,12088.638,12088.638,,12088.638,7660.3623,12088.638,,,12088.638,,
85,8,10,91,2023-01-01 11:53:26.099006971,,1062.2648,2209.6,,,,,28089.135,,,,,,
65,3,158,50,2023-01-01 11:56:42.915778634,9288.276,238.09233,9288.276,9288.276,9288.276,9288.276,9288.276,9288.276,9288.276,9288.276,9288.276,9288.276,9288.276,9288.276
98,3,2,156,2023-01-01 11:57:45.198431445,10287.268,62.282654,21354.172,10287.268,10287.268,,10287.268,,10287.268,,,10287.268,,
4,10,10,139,2023-01-01 11:59:50.320290150,15109.783,426.9902,384.22128,15109.783,15109.783,,15109.783,,15109.783,,,15109.783,,
81,10,20,152,2023-01-01 12:01:46.581748453,4468.526,116.26146,,4468.526,4468.526,,4468.526,,4468.526,,,4468.526,,
76,8,120,43,2023-01-01 12:05:19.094518122,13419.547,712.9955,1006.94885,13419.547,13419.547,,13419.547,36936.438,13419.547,,,13419.547,,
63,3,44,11,2023-01-01 12:07:49.000410861,12266.823,603.802,3643.0833,12266.823,12266.823,,12266.823,10614.849,12266.823,,,12266.823,,
119,3,152,38,2023-01-01 12:13:14.560163977,9313.261,325.55975,9313.261,9313.261,9313.261,9313.261,9313.261,9313.261,9313.261,9313.261,9313.261,9313.261,9313.261,9313.261
109,3,11,7,2023-01-01 12:13:29.118476866,12044.344,14.558312,1769.5035,12044.344,12044.344,,12044.344,,12044.344,,,12044.344,,
7,10,113,130,2023-01-01 12:15:35.872685607,11390.437,829.29095,1371.0492,11390.437,11390.437,,11390.437,5004.2324,11390.437,,,11390.437,,
94,1,116,45,2023-01-01 12:15:37.087646296,7304.625,3540.5889,7304.625,7304.625,7304.625,7304.625,7304.625,7304.625,7304.625,7304.625,7304.625,7304.625,7304.625,7304.625
34,3,68,145,2023-01-01 12:15:49.487826478,14014.98,140.36935,14014.98,14014.98,14014.98,14014.98,14014.98,14014.98,14014.98,14014.98,14014.98,14014.98,14014.98,14014.98
120,3,11,16,2023-01-01 12:24:34.874051506,10325.39,525.3862,665.75555,10325.39,10325.39,,10325.39,665.75555,10325.39,,,10325.39,,
88,7,27,28,2023-01-01 12:25:47.025908140,15362.072,15362.072,15362.072,15362.072,15362.072,15362.072,15362.072,15362.072,15362.072,15362.072,15362.072,15362.072,15362.072,15362.072
58,10,120,116,2023-01-01 12:30:40.348561911,13090.626,904.4759,1521.254,13090.626,13090.626,,13090.626,2528.203,13090.626,,,13090.626,,
131,4,171,84,2023-01-01 12:31:17.045903522,13130.802,3265.6763,13130.802,13130.802,13130.802,13130.802,13130.802,13130.802,13130.802,13130.802,13130.802,13130.802,13130.802,13130.802
140,8,10,74,2023-01-01 12:31:26.818914414,12133.161,1567.7244,1896.4987,12133.161,12133.161,,12133.161,2280.72,12133.161,,,12133.161,,
2,4,2,128,2023-01-01 12:37:13.153972307,3621.7844,356.10806,2367.9556,3621.7844,3621.7844,,3621.7844,,3621.7844,,,3621.7844,,
114,10,2,150,2023-01-01 12:38:35.500140977,3275.8853,475.15158,82.34617,3275.8853,3275.8853,,3275.8853,28278.86,3275.8853,,,3275.8853,,
59,10,2,62,2023-01-01 12:39:53.746437761,6462.1064,78.2463,78.2463,6462.1064,6462.1064,,6462.1064,78.2463,6462.1064,,,6462.1064,,
64,10,122,113,2023-01-01 12:44:04.719210081,12683.441,250.97278,,12683.441,12683.441,,12683.441,,12683.441,,,12683.441,,
63,3,64,11,2023-01-01 12:45:30.280610464,2261.2803,1255.4066,10536.412,2261.2803,2261.2803,,2261.2803,,2261.2803,,,2261.2803,,
109,3,10,7,2023-01-01 12:45:43.961263693,1934.8428,13.680654,857.14233,1934.8428,1934.8428,,1934.8428,13498.934,1934.8428,,,1934.8428,,
30,2,94,10,2023-01-01 12:48:37.709311904,6016.804,5817.0356,13793.46,6016.804,6016.804,,6016.804,,6016.804,,,6016.804,,
21,10,2,148,2023-01-01 12:49:21.428732162,6135.5117,316.70953,567.6823,6135.5117,6135.5117,,6135.5117,567.6823,6135.5117,,,6135.5117,,
126,8,113,111,2023-01-01 12:51:39.187467425,4555.353,1212.3685,2163.3147,4555.353,4555.353,,4555.353,30927.373,4555.353,,,4555.353,,
32,1,113,147,2023-01-01 12:52:02.756423110,18638.969,2185.6687,23.568956,18638.969,18638.969,,18638.969,,18638.969,,,18638.969,,
72,3,11,114,2023-01-01 12:58:38.573264799,12773.128,774.612,2043.6992,12773.128,12773.128,,12773.128,2043.6992,12773.128,,,12773.128,,
145,3,2,40,2023-01-01 13:01:27.208206600,14201.431,168.63495,725.7795,14201.431,14201.431,,14201.431,3822.0098,14201.431,,,14201.431,,
55,10,44,96,2023-01-01 13:02:03.245024278,11529.377,761.8163,3254.2446,11529.377,11529.377,,11529.377,6897.328,11529.377,,,11529.377,,
24,3,64,159,2023-01-01 13:10:13.488604932,14359.336,526.2804,1483.208,14359.336,14359.336,,14359.336,1483.208,14359.336,,,14359.336,,
1,3,64,31,2023-01-01 13:14:18.708085898,11846.155,245.21948,245.21948,11846.155,11846.155,,11846.155,245.21948,11846.155,,,11846.155,,
73,10,164,101,2023-01-01 13:14:23.011496673,17015.324,739.7665,17015.324,17015.324,17015.324,17015.324,17015.324,17015.324,17015.324,17015.324,17015.324,17015.324,17015.324,17015.324
124,3,169,41,2023-01-01 13:14:56.402757846,17802.123,37.69467,10042.035,17802.123,17802.123,,17802.123,11883.85,17802.123,,,17802.123,,
