user,group,device,ip,Login Time
129,9,144,15,2023-01-09 10:37:05.658152717
129,9,75,15,2023-01-09 13:15:45.121839286
129,9,144,15,2023-01-10 08:46:22.713744534
129,9,161,15,2023-01-10 14:04:15.177596822
129,9,161,15,2023-01-10 14:34:12.847899990
129,9,144,15,2023-01-11 17:22:43.502523690
129,9,75,15,2023-01-11 20:53:40.800278863
129,9,33,15,2023-01-11 21:19:57.058558472
129,9,64,15,2023-01-11 21:41:41.925592044
129,9,10,15,2023-01-12 03:49:32.357584352
129,9,2,15,2023-01-12 04:04:03.847197455
129,9,75,15,2023-01-12 04:35:40.307978386
129,9,161,15,2023-01-12 05:22:50.803950766
129,9,144,15,2023-01-12 07:55:18.237695082
129,9,120,15,2023-01-12 14:19:16.833844389
129,9,75,15,2023-01-12 15:25:28.928587223
129,9,144,15,2023-01-13 08:53:19.951953168
129,9,120,15,2023-01-13 11:10:39.756945293
129,9,115,15,2023-01-13 11:58:32.099176239
129,9,144,15,2023-01-14 09:28:21.102107916
129,9,144,15,2023-01-15 08:44:36.649191192
129,9,33,15,2023-01-15 10:10:35.937496326
129,9,144,15,2023-01-15 10:32:59.465367651
129,9,33,15,2023-01-15 13:50:31.824000829
129,9,144,15,2023-01-16 08:18:56.409045600
129,9,10,15,2023-01-16 08:55:16.170161747
129,9,113,15,2023-01-16 11:04:33.323134574
129,9,10,15,2023-01-16 12:22:47.661835882
129,9,2,15,2023-01-16 12:41:31.652940516
129,9,44,15,2023-01-16 13:18:32.615575346
129,9,115,15,2023-01-16 15:28:40.884336990
129,9,2,15,2023-01-17 08:18:16.710867193
129,9,144,15,2023-01-17 08:31:16.746531072
129,9,144,15,2023-01-18 07:55:54.882067638
129,9,113,15,2023-01-18 09:21:48.197744534
129,9,2,15,2023-01-18 12:14:30.368200820
129,9,115,15,2023-01-18 12:26:24.314145148
129,9,10,15,2023-01-18 13:01:45.470710112
129,9,113,15,2023-01-18 13:22:49.936105622
129,9,144,15,2023-01-19 08:21:09.675973560
129,9,144,15,2023-01-19 09:59:07.553054751
129,9,144,15,2023-01-20 08:20:21.360797700
129,9,144,15,2023-01-21 08:33:12.611222628
129,9,44,15,2023-01-21 11:42:00.328310779
129,9,169,15,2023-01-21 12:51:28.456732699
129,9,169,15,2023-01-21 14:46:58.463829916
129,9,144,15,2023-01-22 08:56:12.250970256
129,9,56,15,2023-01-22 11:09:18.876298679
129,9,160,15,2023-01-22 13:28:18.035226143
129,9,144,15,2023-01-23 08:46:25.939781556
129,9,33,15,2023-01-23 10:00:14.802481477
129,9,33,15,2023-01-23 14:12:47.296726275
129,9,144,15,2023-01-24 08:52:07.940077134
129,9,144,15,2023-01-24 09:07:10.649248315
129,9,144,15,2023-01-24 13:49:10.270355702
129,9,144,15,2023-01-25 09:15:44.522089206
129,9,144,15,2023-01-26 09:05:00.766864686
129,9,144,15,2023-01-26 13:38:56.498953645
129,9,144,15,2023-01-26 15:01:36.951234659
129,9,144,15,2023-01-27 08:15:46.735160904
129,9,115,15,2023-01-27 09:07:51.032277060
129,9,161,15,2023-01-27 10:09:48.461017427
129,9,115,15,2023-01-27 11:14:16.048169564
129,9,120,15,2023-01-27 11:43:58.538500022
129,9,115,15,2023-01-27 14:51:50.757365846
129,9,10,15,2023-01-27 17:23:59.307841478
129,9,144,15,2023-01-28 07:55:28.569221053
129,9,144,15,2023-01-29 08:36:56.143701126
129,9,144,15,2023-01-30 19:00:03.362241168
129,9,144,15,2023-01-31 08:41:33.093151668
129,9,144,15,2023-02-01 08:17:09.033247410
129,9,144,15,2023-02-01 13:22:49.408152679
129,9,144,15,2023-02-02 08:25:31.813970903
129,9,44,15,2023-02-02 12:20:50.301926818
129,9,120,15,2023-02-03 08:55:51.968256159
129,9,144,15,2023-02-03 09:16:21.816217020
129,9,44,15,2023-02-03 10:19:53.165784216
129,9,44,15,2023-02-03 12:09:50.443721905
129,9,44,15,2023-02-03 12:38:01.218814083
129,9,113,15,2023-02-04 11:37:48.610945472
129,9,11,15,2023-02-04 13:09:23.395056998
129,9,144,15,2023-02-05 07:27:41.486400830
129,9,144,15,2023-02-05 07:47:45.837044394
129,9,10,15,2023-02-05 08:21:49.647895426
129,9,113,15,2023-02-05 08:54:53.582725023
129,9,33,15,2023-02-05 09:45:12.166603666
129,9,11,15,2023-02-05 10:46:10.408859605
129,9,33,15,2023-02-05 11:56:34.980531994
129,9,169,15,2023-02-05 12:39:45.641219681
129,9,161,15,2023-02-05 14:13:48.877857848
129,9,144,15,2023-02-06 08:43:25.010408166
129,9,64,15,2023-02-06 11:38:40.765665558
129,9,2,15,2023-02-06 12:11:21.288021673
129,9,120,15,2023-02-06 12:22:12.653058151
129,9,64,15,2023-02-06 13:13:16.792864786
129,9,115,15,2023-02-06 13:45:33.744500229
129,9,59,15,2023-02-06 14:41:23.149920143
129,9,10,15,2023-02-07 07:56:31.338484505
129,9,64,15,2023-02-07 08:43:38.161571479
129,9,144,15,2023-02-07 10:00:57.938735946
129,9,144,15,2023-02-08 09:52:42.864983874
129,9,144,15,2023-02-09 17:41:07.238025546
129,9,115,15,2023-02-09 22:06:20.021263258
129,9,144,15,2023-02-10 02:34:47.534708649
129,9,64,15,2023-02-10 03:23:50.424282479
129,9,115,15,2023-02-10 06:28:06.969806981
129,9,144,15,2023-02-10 08:39:15.354650807
129,9,144,15,2023-02-11 08:26:42.221109360
129,9,113,15,2023-02-11 08:42:30.566837509
129,9,10,15,2023-02-11 11:14:16.822132044
129,9,11,15,2023-02-11 12:32:51.265981113
129,9,11,15,2023-02-11 12:42:59.427018001
129,9,10,15,2023-02-11 14:43:39.014902827
129,9,113,15,2023-02-11 16:33:13.085605018
129,9,144,15,2023-02-12 07:44:52.390127971
129,9,169,15,2023-02-12 12:35:59.598877101
129,9,113,15,2023-02-12 12:56:01.573313163
129,9,64,15,2023-02-12 13:07:29.921521916
129,9,115,15,2023-02-12 13:56:23.762755618
129,9,115,15,2023-02-12 14:27:53.792371739
129,9,169,15,2023-02-12 14:46:05.971012034
46,9,106,154,2023-01-01 09:04:52.574540466
46,9,106,154,2023-01-01 13:27:37.000565395
46,9,106,154,2023-01-02 17:35:48.650700882
46,9,169,154,2023-01-02 22:57:15.977155929
46,9,169,154,2023-01-03 04:15:14.226527193
46,9,106,154,2023-01-03 08:12:19.765032396
46,9,106,154,2023-01-04 07:52:36.440983632
46,9,33,154,2023-01-04 09:42:35.951167644
46,9,120,154,2023-01-04 11:35:55.553502785
46,9,161,154,2023-01-04 12:24:48.758237864
46,9,120,154,2023-01-04 13:12:45.990783406
46,9,106,154,2023-01-05 09:30:42.201404094
46,9,10,154,2023-01-05 13:15:28.653803834
46,9,106,154,2023-01-06 08:00:39.913085718
46,9,115,154,2023-01-06 12:52:49.420441122
46,9,106,154,2023-01-06 15:20:38.806381108
46,9,106,154,2023-01-07 08:34:53.242365288
46,9,106,154,2023-01-08 08:51:25.058535210
46,9,10,154,2023-01-08 10:13:09.607631456
46,9,64,154,2023-01-08 11:01:37.076696380
46,9,169,154,2023-01-08 11:46:30.146330880
46,9,10,154,2023-01-08 12:44:14.884729329
46,9,106,154,2023-01-08 17:13:37.996237486
46,9,106,154,2023-01-09 08:42:55.084095252
46,9,11,154,2023-01-09 09:23:53.695268801
46,9,165,154,2023-01-09 09:58:52.584557586
46,9,106,154,2023-01-09 11:33:25.016271930
46,9,133,154,2023-01-09 11:55:54.500193072
46,9,44,154,2023-01-09 12:06:44.375514267
46,9,113,154,2023-01-09 12:26:10.214641294
46,9,101,154,2023-01-09 13:17:48.138154517
46,9,83,154,2023-01-09 14:46:44.486506743
46,9,41,154,2023-01-09 17:47:30.619578269
46,9,110,154,2023-01-10 06:48:28.638512726
46,9,106,154,2023-01-10 08:36:50.622597600
46,9,107,154,2023-01-10 11:18:20.934722408
46,9,85,154,2023-01-10 12:26:18.271794128
46,9,149,154,2023-01-10 12:43:42.708775516
46,9,129,154,2023-01-10 14:41:48.105547542
46,9,106,154,2023-01-11 08:47:25.798156512
46,9,120,154,2023-01-11 10:32:21.698899466
46,9,106,154,2023-01-11 11:17:44.509798083
46,9,120,154,2023-01-11 13:45:39.111061018
46,9,64,154,2023-01-11 14:37:20.805552165
46,9,106,154,2023-01-11 14:51:22.130905524
46,9,33,154,2023-01-11 15:10:30.228900676
46,9,106,154,2023-01-12 08:28:40.229924526
46,9,106,154,2023-01-12 16:17:55.325672768
46,9,106,154,2023-01-13 08:42:14.794419684
46,9,106,154,2023-01-14 08:16:44.496936912
46,9,106,154,2023-01-15 09:46:44.329266054
46,9,106,154,2023-01-16 09:13:34.275326634
46,9,2,154,2023-01-16 10:48:39.414247648
46,9,115,154,2023-01-16 12:50:47.302470091
46,9,106,154,2023-01-16 14:59:30.743844957
46,9,106,154,2023-01-17 18:02:04.517392464
46,9,10,154,2023-01-17 20:33:45.853746085
46,9,2,154,2023-01-17 21:49:05.492212174
46,9,115,154,2023-01-18 12:11:31.824185535
46,9,106,154,2023-01-18 16:43:45.699791142
46,9,11,154,2023-01-18 19:10:09.698205684
46,9,120,154,2023-01-18 20:24:26.621701946
46,9,11,154,2023-01-18 21:34:41.184900144
46,9,120,154,2023-01-18 23:01:40.244264764
46,9,169,154,2023-01-18 23:55:46.129351525
46,9,2,154,2023-01-19 01:01:05.236353182
46,9,2,154,2023-01-19 01:21:41.194030090
46,9,44,154,2023-01-19 02:05:46.016288812
46,9,64,154,2023-01-19 02:19:16.042706923
46,9,106,154,2023-01-19 08:00:47.429620248
46,9,10,154,2023-01-19 11:38:09.904999229
46,9,33,154,2023-01-19 13:36:56.626614344
46,9,169,154,2023-01-19 15:28:39.542253886
46,9,169,154,2023-01-19 15:53:00.969497723
46,9,106,154,2023-01-20 08:12:58.610123706
46,9,33,154,2023-01-20 12:12:37.069571153
46,9,106,154,2023-01-21 08:01:20.685590040
46,9,113,154,2023-01-23 00:43:18.434051796
46,9,33,154,2023-01-23 04:10:25.232667989
46,9,106,154,2023-01-23 08:20:25.088389494
46,9,106,154,2023-01-23 12:21:05.221913837
46,9,106,154,2023-01-24 10:06:29.525145708
46,9,103,154,2023-01-24 10:34:37.432268736
46,9,82,154,2023-01-24 11:17:21.770051543
46,9,3,154,2023-01-24 12:44:10.000712193
46,9,29,154,2023-01-24 15:30:21.356922133
46,9,75,154,2023-01-25 08:04:19.539280566
46,9,106,154,2023-01-25 08:29:57.648185850
46,9,10,154,2023-01-26 07:30:15.075402722
46,9,106,154,2023-01-26 08:54:01.140546732
46,9,120,154,2023-01-26 10:52:26.839193062
46,9,106,154,2023-01-26 11:03:10.452622671
46,9,115,154,2023-01-26 11:44:05.465094545
46,9,2,154,2023-01-26 12:43:09.572777093
46,9,106,154,2023-01-27 09:22:29.149522812
46,9,44,154,2023-01-27 12:55:49.744638716
46,9,10,154,2023-01-27 13:20:40.079414906
46,9,11,154,2023-01-27 14:30:13.155665754
46,9,11,154,2023-01-27 14:56:33.862083621
46,9,106,154,2023-01-28 08:12:13.836992094
46,9,106,154,2023-01-28 12:50:02.555820530
46,9,106,154,2023-01-29 08:46:04.821563232
46,9,106,154,2023-01-30 08:35:13.748797608
46,9,106,154,2023-01-31 08:50:57.199029198
46,9,75,154,2023-01-31 11:58:35.287529128
46,9,33,154,2023-01-31 14:43:23.700661727
46,9,106,154,2023-02-01 17:45:21.300011850
46,9,106,154,2023-02-02 08:23:24.752542812
46,9,11,154,2023-02-02 12:00:26.561818167
46,9,106,154,2023-02-02 12:24:50.826345572
46,9,106,154,2023-02-03 08:46:08.537117118
46,9,106,154,2023-02-03 15:42:32.497490446
46,9,106,154,2023-02-04 08:30:22.192855698
46,9,106,154,2023-02-05 17:12:31.126335534
46,9,2,154,2023-02-05 19:51:07.452880894
46,9,120,154,2023-02-05 20:14:43.298566678
46,9,106,154,2023-02-05 22:23:52.475841226
46,9,169,154,2023-02-06 04:34:36.212658510
46,9,106,154,2023-02-06 08:38:42.714498096
46,9,169,154,2023-02-06 10:24:42.660944244
46,9,64,154,2023-02-06 11:38:02.453110927
46,9,2,154,2023-02-06 12:50:44.045177785
46,9,2,154,2023-02-06 14:11:04.973197710
46,9,106,154,2023-02-07 09:45:07.512618468
46,9,33,154,2023-02-07 13:08:47.455275722
46,9,33,154,2023-02-07 13:42:39.564275180
46,9,91,154,2023-02-07 14:31:20.559338299
46,9,69,154,2023-02-07 20:10:18.845704155
46,9,106,154,2023-02-08 17:14:49.949872080
46,9,77,154,2023-02-08 20:32:31.237870767
46,9,106,154,2023-02-08 22:53:55.764984659
46,9,126,154,2023-02-08 23:43:14.932329791
46,9,106,154,2023-02-09 08:32:03.074407074
46,9,75,154,2023-02-10 08:14:38.732374036
46,9,106,154,2023-02-10 11:45:36.470304643
46,9,33,154,2023-02-10 15:23:32.466113363
46,9,106,154,2023-02-11 08:37:00.453522186
46,9,11,154,2023-02-12 09:25:36.386931072
46,9,169,154,2023-02-12 12:31:45.373768400
46,9,120,154,2023-02-12 12:52:32.158826578
46,9,2,154,2023-02-12 13:57:54.316890549
46,9,115,154,2023-02-12 15:00:42.002692294
135,9,84,112,2023-01-01 17:24:20.382013728
135,9,84,112,2023-01-02 08:15:44.190732510
135,9,11,112,2023-01-02 10:01:34.248318913
135,9,161,112,2023-01-02 11:52:48.858941903
135,9,75,112,2023-01-02 14:08:27.992053889
135,9,84,112,2023-01-03 08:05:08.631547848
135,9,115,112,2023-01-03 10:46:20.099274007
135,9,2,112,2023-01-03 12:25:36.839777281
135,9,11,112,2023-01-03 13:15:45.664863836
135,9,169,112,2023-01-03 14:19:35.962381886
135,9,169,112,2023-01-03 15:33:27.030441959
135,9,84,112,2023-01-04 08:10:46.343996046
135,9,115,112,2023-01-04 10:58:41.482188814
135,9,113,112,2023-01-04 12:48:32.083650171
135,9,84,112,2023-01-05 08:00:55.090118640
135,9,84,112,2023-01-06 08:57:29.365982370
135,9,84,112,2023-01-06 09:16:13.512500920
135,9,75,112,2023-01-06 13:33:46.557701724
135,9,84,112,2023-01-07 18:38:25.801361730
135,9,84,112,2023-01-07 19:28:52.385358154
135,9,84,112,2023-01-08 01:44:50.272245825
135,9,84,112,2023-01-08 08:09:12.165661050
135,9,11,112,2023-01-08 11:13:46.557591359
135,9,75,112,2023-01-08 11:49:10.832069411
135,9,11,112,2023-01-08 14:33:51.910430897
135,9,84,112,2023-01-09 09:06:52.579554576
135,9,115,112,2023-01-09 10:23:49.395005170
135,9,115,112,2023-01-09 11:20:04.045870555
135,9,84,112,2023-01-09 12:04:23.012386197
135,9,11,112,2023-01-09 12:48:54.355234870
135,9,84,112,2023-01-10 08:32:35.034541242
135,9,84,112,2023-01-10 10:15:18.174139234
135,9,84,112,2023-01-11 08:39:34.002710832
135,9,84,112,2023-01-11 14:16:38.252749516
135,9,84,112,2023-01-12 09:47:02.254979310
135,9,33,112,2023-01-13 11:44:00.902924949
135,9,161,112,2023-01-13 12:49:00.443794677
135,9,84,112,2023-01-14 08:38:07.372258326
135,9,84,112,2023-01-14 11:51:58.324601608
135,9,84,112,2023-01-14 17:03:14.631144672
135,9,84,112,2023-01-15 07:47:01.325482284
135,9,75,112,2023-01-15 12:17:14.423517193
135,9,161,112,2023-01-15 14:02:17.417395939
135,9,84,112,2023-01-16 08:51:45.186824934
135,9,161,112,2023-01-16 11:23:39.986137229
135,9,161,112,2023-01-16 12:10:48.339309403
135,9,33,112,2023-01-16 13:01:35.080615578
135,9,84,112,2023-01-17 09:43:13.973186772
135,9,96,112,2023-01-17 10:03:05.080726927
135,9,112,112,2023-01-17 10:28:19.697466928
135,9,80,112,2023-01-17 11:09:32.753812469
135,9,115,112,2023-01-17 12:00:22.707634730
135,9,115,112,2023-01-17 13:05:23.365400933
135,9,64,112,2023-01-17 15:41:58.850952659
135,9,11,112,2023-01-17 15:54:42.903221096
135,9,84,112,2023-01-18 08:39:18.175851930
135,9,64,112,2023-01-18 09:36:15.597653610
135,9,115,112,2023-01-18 11:44:08.103290257
135,9,115,112,2023-01-18 15:49:08.365635673
135,9,84,112,2023-01-19 07:55:37.021071618
135,9,33,112,2023-01-19 10:48:20.551554561
135,9,33,112,2023-01-19 11:37:24.004287584
135,9,84,112,2023-01-19 11:48:38.310950285
135,9,84,112,2023-01-19 12:39:40.479531982
135,9,84,112,2023-01-20 08:20:01.253585904
135,9,113,112,2023-01-20 10:15:41.803429052
135,9,10,112,2023-01-20 12:57:55.870851005
135,9,75,112,2023-01-20 13:14:44.635305707
135,9,44,112,2023-01-20 13:27:00.991146241
135,9,75,112,2023-01-20 13:39:30.938109834
135,9,115,112,2023-01-20 14:36:22.531295211
135,9,84,112,2023-01-21 08:47:18.520651740
135,9,84,112,2023-01-21 09:56:35.676592436
135,9,84,112,2023-01-22 09:20:27.606173448
135,9,84,112,2023-01-23 09:17:17.778990114
135,9,64,112,2023-01-23 10:34:48.669996490
135,9,161,112,2023-01-23 11:10:20.281149264
135,9,2,112,2023-01-23 12:09:12.633849870
135,9,75,112,2023-01-23 13:20:40.333384295
135,9,10,112,2023-01-23 17:01:54.891201179
135,9,84,112,2023-01-24 08:04:16.286763869
135,9,84,112,2023-01-24 12:38:34.657436770
135,9,84,112,2023-01-25 17:21:50.065873536
135,9,84,112,2023-01-26 02:45:21.330612929
135,9,84,112,2023-01-26 09:05:38.422745712
135,9,33,112,2023-01-26 11:46:21.548394383
135,9,33,112,2023-01-26 14:03:27.983251747
135,9,84,112,2023-01-27 08:09:59.255843670
135,9,84,112,2023-01-27 11:34:27.202270891
135,9,84,112,2023-01-27 14:59:04.530844811
135,9,84,112,2023-01-28 17:09:41.812293702
135,9,72,112,2023-01-28 19:03:33.539847101
135,9,84,112,2023-01-29 01:39:47.076652370
135,9,115,112,2023-01-29 04:58:35.255501097
135,9,84,112,2023-01-29 08:03:41.001132462
135,9,169,112,2023-01-29 10:49:24.348430973
135,9,11,112,2023-01-29 13:32:02.118266928
135,9,120,112,2023-01-29 13:45:54.828783483
135,9,2,112,2023-01-30 08:00:24.051218360
135,9,10,112,2023-01-30 13:04:56.513536583
135,9,2,112,2023-01-30 14:40:16.994667268
135,9,84,112,2023-01-31 09:01:19.306342050
135,9,113,112,2023-02-01 08:27:13.322846235
135,9,84,112,2023-02-01 09:24:02.544151104
135,9,148,112,2023-02-01 10:42:10.535947298
135,9,100,112,2023-02-01 10:58:14.771056137
135,9,29,112,2023-02-01 12:01:48.577680313
135,9,34,112,2023-02-01 15:03:39.233335113
135,9,2,112,2023-02-02 08:44:04.852849515
135,9,84,112,2023-02-02 08:58:38.168554878
135,9,115,112,2023-02-02 12:16:33.030071926
135,9,84,112,2023-02-03 08:44:44.850724782
135,9,44,112,2023-02-03 10:54:05.329509383
135,9,64,112,2023-02-03 11:10:31.537950993
135,9,10,112,2023-02-03 12:38:25.244108811
135,9,10,112,2023-02-03 13:18:30.027895070
135,9,84,112,2023-02-04 09:02:15.827536122
135,9,84,112,2023-02-05 08:44:35.582289456
135,9,84,112,2023-02-05 09:17:06.184181358
135,9,84,112,2023-02-05 16:13:22.541462057
135,9,84,112,2023-02-06 08:42:07.079144574
135,9,33,112,2023-02-06 17:14:27.683812351
135,9,84,112,2023-02-07 08:13:28.389441582
135,9,33,112,2023-02-07 13:04:15.558762048
135,9,161,112,2023-02-07 13:41:08.321823744
135,9,84,112,2023-02-08 08:13:54.156844362
135,9,84,112,2023-02-08 13:58:56.443981985
135,9,84,112,2023-02-09 08:35:34.427758620
135,9,10,112,2023-02-09 09:13:54.517506026
135,9,44,112,2023-02-09 12:03:05.265395033
135,9,120,112,2023-02-09 13:00:34.651163271
135,9,10,112,2023-02-09 13:52:34.560369265
135,9,44,112,2023-02-09 14:04:42.059444821
135,9,113,112,2023-02-09 15:42:26.317836709
135,9,84,112,2023-02-10 08:41:40.942501224
135,9,44,112,2023-02-10 11:55:14.881079461
135,9,75,112,2023-02-10 12:59:31.602984132
135,9,115,112,2023-02-10 14:43:55.965776798
135,9,33,112,2023-02-10 15:57:05.895799950
135,9,2,112,2023-02-11 08:35:06.641835523
135,9,84,112,2023-02-11 09:31:35.125198902
135,9,169,112,2023-02-11 10:17:07.573670416
135,9,84,112,2023-02-11 11:08:57.110776465
135,9,44,112,2023-02-11 11:56:28.210037201
135,9,115,112,2023-02-11 12:52:13.228214014
135,9,2,112,2023-02-11 13:19:34.230194484
135,9,113,112,2023-02-11 13:39:50.326434348
135,9,84,112,2023-02-12 09:09:48.760366986
135,9,74,112,2023-02-12 10:54:18.882791924
135,9,84,112,2023-02-12 11:15:48.688814439
135,9,84,112,2023-02-12 12:21:09.214164539
93,2,91,72,2023-01-01 08:20:45.603786870
93,2,91,72,2023-01-03 08:06:56.791827384
93,2,115,72,2023-01-04 06:37:58.443958589
93,2,91,72,2023-01-04 09:05:24.209149314
93,2,71,72,2023-01-04 10:48:57.030756726
93,2,120,72,2023-01-04 13:34:00.377358760
93,2,1,72,2023-01-04 14:08:51.630508459
93,2,91,72,2023-01-05 09:26:19.238593752
93,2,136,72,2023-01-05 11:31:13.902341585
93,2,12,72,2023-01-05 12:35:27.628883789
93,2,9,72,2023-01-05 13:24:17.608494511
93,2,23,72,2023-01-05 14:03:59.511067240
93,2,79,72,2023-01-05 14:33:01.575476842
93,2,91,72,2023-01-06 08:47:30.040605420
93,2,120,72,2023-01-06 09:51:26.672070692
93,2,2,72,2023-01-06 11:04:34.976352304
93,2,161,72,2023-01-06 17:59:31.172029400
93,2,91,72,2023-01-09 08:27:16.755254490
93,2,91,72,2023-01-09 10:54:10.274458498
93,2,10,72,2023-01-09 11:58:41.282432100
93,2,169,72,2023-01-09 14:05:41.090823303
93,2,115,72,2023-01-09 17:31:40.807024633
93,2,91,72,2023-01-10 08:53:07.670915141
93,2,10,72,2023-01-10 09:39:12.353566710
93,2,11,72,2023-01-10 13:09:02.460748833
93,2,120,72,2023-01-10 13:32:57.602353771
93,2,120,72,2023-01-10 15:53:25.536233007
93,2,10,72,2023-01-11 08:53:53.536512211
93,2,44,72,2023-01-11 11:27:13.989354652
93,2,64,72,2023-01-11 13:39:56.296375903
93,2,64,72,2023-01-11 15:51:15.340898178
93,2,91,72,2023-01-12 08:07:53.369834802
93,2,91,72,2023-01-12 09:39:38.792708796
93,2,91,72,2023-01-12 12:20:13.324535898
93,2,91,72,2023-01-13 08:23:49.896654210
93,2,91,72,2023-01-13 11:03:09.687707178
93,2,41,72,2023-01-13 12:27:59.156862964
93,2,91,72,2023-01-13 13:17:44.802944717
93,2,78,72,2023-01-13 13:33:20.345583026
93,2,91,72,2023-01-13 14:36:11.213741211
93,2,91,72,2023-01-14 08:26:52.178672682
93,2,91,72,2023-01-14 08:58:04.808853777
93,2,64,72,2023-01-14 10:46:57.279422619
93,2,78,72,2023-01-14 11:19:04.603804268
93,2,120,72,2023-01-14 12:58:02.450066401
93,2,44,72,2023-01-14 14:34:37.270819508
93,2,112,72,2023-01-14 15:48:21.444968619
93,2,91,72,2023-01-15 08:19:53.268787044
93,2,91,72,2023-01-15 11:16:07.530633846
93,2,1,72,2023-01-15 11:26:46.931242082
93,2,152,72,2023-01-15 11:56:48.256388779
93,2,122,72,2023-01-15 13:10:13.931872730
93,2,91,72,2023-01-16 08:07:35.161988220
93,2,91,72,2023-01-17 08:30:04.253599836
93,2,120,72,2023-01-17 10:09:24.180744926
93,2,91,72,2023-01-19 08:23:39.286147206
93,2,73,72,2023-01-19 08:59:55.593426835
93,2,91,72,2023-01-19 11:30:04.195395077
93,2,73,72,2023-01-19 12:40:50.383248935
93,2,91,72,2023-01-19 13:01:29.629410615
93,2,89,72,2023-01-19 13:55:25.827142469
93,2,166,72,2023-01-19 16:30:59.793864381
93,2,75,72,2023-01-20 06:22:56.812825533
93,2,91,72,2023-01-20 08:00:01.217993256
93,2,91,72,2023-01-20 11:06:33.940201361
93,2,169,72,2023-01-21 07:09:05.189429968
93,2,120,72,2023-01-21 12:38:26.777867234
93,2,91,72,2023-01-22 08:00:21.376016994
93,2,139,72,2023-01-22 09:31:12.480265592
93,2,91,72,2023-01-22 12:26:13.623052646
93,2,91,72,2023-01-23 08:51:11.712054798
93,2,125,72,2023-01-23 09:04:18.935285001
93,2,113,72,2023-01-23 10:42:08.024790502
93,2,131,72,2023-01-23 11:36:48.399587842
93,2,19,72,2023-01-23 12:45:51.236213834
93,2,168,72,2023-01-23 14:28:03.827615532
93,2,44,72,2023-01-23 15:09:03.089540712
93,2,91,72,2023-01-24 08:06:44.229203848
93,2,91,72,2023-01-24 08:33:36.231415116
93,2,91,72,2023-01-25 08:12:00.349302942
93,2,91,72,2023-01-26 08:11:44.128906224
93,2,161,72,2023-01-26 11:08:52.600423995
93,2,91,72,2023-01-26 14:24:06.770467315
93,2,91,72,2023-01-28 08:14:06.799958142
93,2,91,72,2023-01-28 14:05:27.559896863
93,2,91,72,2023-01-28 15:32:42.824009553
93,2,156,72,2023-01-28 15:48:49.132962635
93,2,108,72,2023-01-29 07:21:51.223268020
93,2,91,72,2023-01-29 08:37:11.579997378
93,2,169,72,2023-01-29 09:36:41.342374114
93,2,169,72,2023-01-29 10:29:48.805765860
93,2,115,72,2023-01-29 11:39:50.126106245
93,2,88,72,2023-01-29 12:34:18.752493381
93,2,122,72,2023-01-29 13:28:11.372247249
93,2,40,72,2023-01-29 13:48:41.325808769
93,2,143,72,2023-01-29 17:21:44.620742405
93,2,91,72,2023-01-30 08:18:37.191649092
93,2,91,72,2023-01-30 11:08:11.699830025
93,2,33,72,2023-01-30 14:02:18.824011545
93,2,91,72,2023-01-31 09:11:19.725965190
93,2,2,72,2023-01-31 12:23:30.635276457
